"csoc","ctie","ltie","cnatie","rtie","clang","cdevise","datmod","cusermod","idtva","ccdliv","cfmtie","gencod","ctiec","cmdliv","zinutil","ctiex1","ctiex2","ctiex3","datcre","cusercre","cpos","tel","ville","cfmcpti","tconfcde","appjour","appheured","appheuref","derncde","note","etat","tdiv","csocoff","ctieoff","csnatie","cacheteur","cappro","cdatpx","admstamp","ctieapayer","cptad","sensad","tcee","tdeb","csocclt","ctieclt","cetabclt","csocor","cetabor","baseor","ttieint","csoctieint","cetabtieint","dtapp","tstkfrs","csocdepfrs","cetabdepfrs","cdepotfrs","cdelvar","ctrlfac","datrep","cuserrep","cetatrep","vilcdliv","siret","tstkpref","cetabarr","clieuarr","csocdeppref","cetabdeppref","cdepotpref"
"CL","4010SORE","SORETAL","FRS","SORETAL","FRA","EUR","02/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","","","97400","02 62 53 27 08","SAINTE-CLOTHILDE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010SORE","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010TIRE","TIRE BOITE","FRS","TIRE BOITE","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","24/12/2020 00:00:00","VIF","97424","06 92 95 16 17","PITON ST LEU","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010TIRE","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010TROPI","TROPI LEGUMES","FRS","TROPI LEGUME","FRA","EUR","02/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","24/12/2020 00:00:00","VIF","97410","02 62 59 19 46","SAINT-PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010TROPI","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010ZICO","ZICOMAT","FRS","ZICOMAT","FRA","EUR","28/01/2021 00:00:00","VIFINTEG","","","LOC","0","","","","","","","24/12/2020 00:00:00","VIF","","","","FOU","True","","0","0","23/02/2021 00:00:00","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","0","4010ZICO","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010CORRE","CORRE ELYSEE","FRS","CORRE ELYSEE","FRA","EUR","07/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","24/12/2020 00:00:00","VIF","97418","06 93 97 10 61","PLAINE DES CAFRES","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010CORRE","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010ARMAS","ARMAS","FRS","ARMAS","FRA","EUR","28/01/2021 00:00:00","VIFINTEG","","","LOC","0","","","","","","","28/01/2021 00:00:00","VIFINTEG","97829","02 62 42 67 70","LE PORT Cedex","FOU","True","","0","0","02/03/2021 00:00:00","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010ARMAS","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010DPA","DPA","FRS","DPA","FRA","EUR","08/06/2021 00:00:00","FRAIAL","","","LOC","0","","3","","","","","22/04/2021 00:00:00","USERADM","97410","02 62 37 06 44","SAINT-PIERRE","FOU","True","","0","0","06/05/2021 00:00:00","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","24","4010DPA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010LAWYAT","PULPE DES MASCAREIGNES","FRS","LAW YAT","FRA","EUR","23/06/2021 00:00:00","FRAIAL","","","LOC","0","","3","","","","","22/04/2021 00:00:00","USERADM","97434","06 92 86 86 05","SAINT GILLES LES BAINS","FOU","True","","0","0","06/05/2021 00:00:00","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","20","4010LAWYAT","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010MARAIC","MARAICHERS DE LA REUNION","FRS","MARAICHER DE","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","01/06/2021 00:00:00","FRAIAL","97438","","SAINTE-MARIE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","24","4010MARAIC","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010AVIFER","AVIFERME","FRS","AVIFERME","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","01/06/2021 00:00:00","FRAIAL","97418","02 62 27 52 84","TAMPON","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","16","4010AVIFER","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010EUREKA","EUREKAS","FRS","EUREKAS","FRA","EUR","01/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","02/06/2021 00:00:00","FRAIAL","97410","02 62 35 16 55","SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","20","4010EUREKA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010LOGIST","LOGISTISUD","FRS","LOGISTISUD","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","02/06/2021 00:00:00","FRAIAL","97410","0262.25.88.88","PIERREFOND SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010LOGIST","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010LM","LM","FRS","GROUPE LM","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","02/06/2021 00:00:00","FRAIAL","97410","0262 25 20 08","SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","16","4010LM","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010PROMON","PROMONET","FRS","PROMONET","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","02/06/2021 00:00:00","FRAIAL","97452","02 62 96 13 96","SAINT-PIERRE Cedex","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","16","4010PROMON","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010ATOBA","ATOBA","FRS","ATOBA","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","02/06/2021 00:00:00","FRAIAL","","","PORT LOUIS","FOU","True","","0","0","04/06/2021 00:00:00","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010ATOBA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010BAG","BAG AND PACK","FRS","BAG AND PACK","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","02/06/2021 00:00:00","FRAIAL","63044","","ROISSY CS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","16","4010BAG","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010C2PACK","C2PACK","FRS","C2PACK","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","02/06/2021 00:00:00","FRAIAL","21600","","LONGVIC","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010C2PACK","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010CASTAD","CASCADELLE DISTRIBUTION","FRS","CASCADELLE","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","02/06/2021 00:00:00","FRAIAL","","","PHOENIX","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010CASTAD","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010COVIA","COVIA","FRS","COVIA","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","02/06/2021 00:00:00","FRAIAL","87600","05 55 03 04 60","ROCHECOURT","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010COVIA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010CLEMSY","CLEMSYS","FRS","CLEMSYS","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","USERADM","78870","01 39 43 00 00","BAILLY","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010CLEMSY","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010RUINCA","RU IN CAR","FRS","RUINCAR","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","25068","+390308900641","SAREZZO (BS)","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010RUINCA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010ISOFLO","ISOFLON","FRS","ISOFLON","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","38790","04 78 96 22 37","DIEMOZ","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010ISOFLO","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010TTINT","T&T INTERNATIONNAL FOODS LTD","FRS","T&T INTERNAT","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","11109","+230 2342969","POINTE AUX SABLES","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010TTINT","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010INDUST","INDUSTRADE","FRS","INDUSTRADE","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","67012","03 90 20 07 07","STRASBOURG Cedex","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010INDUST","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010GILAC","GILAC","FRS","GILAC","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","01580","04 37 50 28 51","IZERNORE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010GILAC","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010ECLAT","ECLAT DE FRANCE","FRS","ECLAT DE FRA","FRA","EUR","05/07/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","84000","04 90 95 59 59","AVIGNON","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","24","4010ECLAT","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010LEBHAR","LEBHAR","FRS","LEBHAR","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","89107","03 86 95 70 96","SENS CEDEX","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010LEBHAR","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010LSM","LSM LINEAIRE","FRS","LSM LINEAIRE","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","78 000","","VERSAILLES","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010LSM","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010MATFER","MATFER BOURGEAT","FRS","MATFER","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","93260","01 43 62 60 40","LES LILAS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010MATFER","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010NEROLI","NEROLIANE","FRS","NEROLIANE","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","06550","","LA ROQUETTE SUR SIAGNE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010NEROLI","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010NOVACH","NOVACHOC","FRS","NOVACHOC","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","67230","03 88 74 09 28","BENFELD","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010NOVACH","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010NUANCE","NUANCES GOURMANDES","FRS","NUANCES GOUR","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","17220","05 46 69 37 15","SAINT MEDARD D'AUNIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010NUANCE","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010PLATEX","PLATEX","FRS","PLATEX","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","92707","","COLOMBES Cedex","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010PLATEX","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010TECHIN","TECHINNOV","FRS","TECHINNOV","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","74210","04 50 68 95 13","DOUSSARD","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010TECHIN","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010PAFSIO","PAFSIO","FRS","PAFSIO","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","","+261 34 81 204 48","TOAMASINA","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010PAFSIO","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010RIVERP","RIVER PACK","FRS","RIVER PACK","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","03/06/2021 00:00:00","FRAIAL","95310","01 34 40 30 10","SAINT-OUEN L'AUMONE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010RIVERP","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010AHCHOU","AH CHOU","FRS","AHCHOU","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97451","0262 25 98 88","SAINT PIERRE CEDEX","FOU","True","","0","0","05/07/2021 00:00:00","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010AHCHOU","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010ASIA","ASIA STORE","FRS","ASIA STORE","FRA","EUR","15/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97410","02 62 96 83 97","SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010ASIA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010BONBON","BONBON TRADITION","FRS","BONBON TRADI","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97440","06 92 28 62 25","BRAS DES CHEVRETTES","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010BONBON","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010BOUL","BOULANGERIE YONG","FRS","BOUL YONG","FRA","EUR","04/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97427","02 62 26 59 69","ETANG SALE LES HAUTS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010BOUL","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010BIO","BIO EMBALLAGE","FRS","BIO EMBALLAG","FRA","EUR","23/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97410","0262 25.98.87","SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010BIO","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010BRASS","BRASSERIES DE BOURBON","FRS","BRASSERIE BO","FRA","EUR","07/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97400","","SAINT-DENIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010BIO","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010BRIOCH","BRIOCHE DOREE","FRS","BRIOCHE DORE","FRA","EUR","04/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97829","02 62 43 72 00","POSSESSION Cedex","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010BRIOCH","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010CHARCU","CHARCUTERIE JANIO","FRS","CHARCUTERIE","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97424","06 92 60 35 07","ST LEU","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","16","4010CHARCU","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010CHAR","CHARCUTERIE SOUBADOU FILS","FRS","CHARCUT SOUB","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97410","0262 93 12 90","RAVINE DES CAFRES","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010CHAR","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010CHANE","CHANE-HIVE","FRS","CHANE HIVE","FRA","EUR","04/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97452","0262 25 02 42","SAINT-PIERRE Cedex","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010CHANE","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010CILAOS","CILAOS","FRS","CILAOS","FRA","EUR","04/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97450","0262 26 78 19","SAINT-LOUIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010CILAOS","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010COGEDA","COGEDAL","FRS","COGEDAL","FRA","EUR","04/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97455","","SAINT-PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010COGEDA","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010COT","COT","FRS","COT","FRA","EUR","04/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97450","02 62 26 16 60","SAINT-LOUIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010COT","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010COUL","COULEURS PRO DISTRIB","FRS","COULEURS PRO","FRA","EUR","30/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","04/06/2021 00:00:00","FRAIAL","97434","","SAINT GILLES LES BAINS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010COUL","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010ECOTEL","ECOTEL","FRS","ECOTEL","FRA","EUR","08/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","08/06/2021 00:00:00","FRAIAL","97434","02 62 24 18 00","SAINT GILLES LES BAINS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010ECOTEL","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010ZEBRE","LE ZEBRE ATELIER CREATIONS PUB","FRS","LE ZEBRE","FRA","EUR","08/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","08/06/2021 00:00:00","FRAIAL","97417","","LA MONTAGNE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010ZEBRE","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010SAVEUR","LES SAVEURS DE L'OCEAN","FRS","LES SAVEURS","FRA","EUR","08/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","08/06/2021 00:00:00","FRAIAL","","","","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010SAVEUR","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010VEND","LES VENDANGES","FRS","LES VENDANGE","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","08/06/2021 00:00:00","FRAIAL","97434","","HERMITAGE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010VEND","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010MADAR","MADARUN EXPORT","FRS","MADARUN","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","08/06/2021 00:00:00","FRAIAL","97410","0692760720","SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","20","4010MADAR","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010MAISON","MAISON DU CURCUMA","FRS","MAISON","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","08/06/2021 00:00:00","FRAIAL","97480","","SAINT JOSEPH","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010MAISON","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010DPAEMB","DPA EMBALLAGES","FRS","DPA EMBALLAG","FRA","EUR","08/06/2021 00:00:00","FRAIAL","","","LOC","0","","3","","","","","08/06/2021 00:00:00","FRAIAL","97410","02 62 96 39 42","SAINT-PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010DPAEMB","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010NJE","NJE FRAICHEUR","FRS","NJE FRAICHEU","FRA","EUR","23/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","09/06/2021 00:00:00","FRAIAL","97424","06 93 03 52 42","PITON SAINT LEU","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","16","4010NJE","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010FMR","PACK FMR","FRS","PACK FMR","FRA","EUR","15/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","09/06/2021 00:00:00","FRAIAL","97420","","LE PORT","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010FMR","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010PHOEN","PHOENIX - EDENA BOISSONS","FRS","PHOENIX","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","09/06/2021 00:00:00","FRAIAL","97419","","LA POSSESSION","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010PHOEN","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010PREST","PRESTACOM","FRS","PRESTACOM","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","09/06/2021 00:00:00","FRAIAL","97440","","SAINT ANDRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010PREST","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010RUNEMB","RUN EMBALLAGE","FRS","RUN EMBALLAG","FRA","EUR","10/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","10/06/2021 00:00:00","FRAIAL","97410","06 93 80 21 90","SAINT PIERRE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010RUNEMB","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010PATOUM","PATOUMA","FRS","PATOUMA","FRA","EUR","23/07/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","10/06/2021 00:00:00","FRAIAL","97423","0692773692","ST PAUL","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010PATOUM","","CLT","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
